pipeline,num_studies,bleu,rouge1,rouge2,rougeL,meteor,bertscore_f1,sacrebleu,chrf,chrf_pp
Baseline (Yi-style five-agent),200,0.05210120246230173,0.2865360759959218,0.09490968602833273,0.19067641016205988,0.335176914753994,0.8502256870269775,4.179564242698972,36.97538307464004,34.231384583454926
Proposed Improvement 1,200,0.10299250095842599,0.40489633434369793,0.16526118426040262,0.29790772278662453,0.3586666208631684,0.8551648584008217,11.461571368351184,39.614238258432906,36.75315182902072
Proposed Improvement 2,200,0.11783448242411483,0.4136492408572554,0.17116262080406316,0.3057759712262271,0.34761084015902277,0.8543981620669365,12.648690437466362,40.70468763198506,37.60147835314213
